Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
CPU,ee-benjamin.ee.ic.ac.uk,
Type,Stepping,Simulation Paths,Accuracy,Latency,
Benchmark,linear,100000,0.623873,11678273.955265,
Benchmark,linear,200000,0.450166,19648312.832065,
Benchmark,linear,300000,0.371000,27618351.708865,
Benchmark,linear,400000,0.323161,35588390.585665,
Benchmark,linear,500000,0.290238,43558429.462465,
Benchmark,linear,600000,0.265791,51528468.339265,
Benchmark,linear,700000,0.246706,59498507.216065,
Benchmark,linear,800000,0.231268,67468546.092865,
Benchmark,linear,900000,0.218444,75438584.969665,
Benchmark,linear,1000000,0.207570,83408623.846465,
Benchmark,linear,1100000,0.198195,91378662.723265,
Benchmark,linear,1200000,0.190005,99348701.600065,
Benchmark,linear,1300000,0.182767,107318740.476865,
Benchmark,linear,1400000,0.176311,115288779.353665,
Benchmark,linear,1500000,0.170504,123258818.230466,
Benchmark,linear,1600000,0.165245,131228857.107266,
Benchmark,linear,1700000,0.160453,139198895.984066,
Benchmark,linear,1800000,0.156062,147168934.860866,
Benchmark,linear,1900000,0.152018,155138973.737666,
Benchmark,linear,2000000,0.148280,163109012.614466,
Benchmark,linear,2100000,0.144809,171079051.491266,
Benchmark,linear,2200000,0.141575,179049090.368066,
Benchmark,linear,2300000,0.138553,187019129.244866,
Benchmark,linear,2400000,0.135720,194989168.121666,
Benchmark,linear,2500000,0.133057,202959206.998466,
Benchmark,linear,2600000,0.130549,210929245.875266,
Benchmark,linear,2700000,0.128179,218899284.752066,
Benchmark,linear,2800000,0.125937,226869323.628866,
Benchmark,linear,2900000,0.123811,234839362.505666,
Benchmark,linear,3000000,0.121792,242809401.382466,
Benchmark,linear,3100000,0.119870,250779440.259266,
Benchmark,linear,3200000,0.118039,258749479.136066,
Benchmark,linear,3300000,0.116290,266719518.012866,
Benchmark,linear,3400000,0.114619,274689556.889666,
Benchmark,linear,3500000,0.113020,282659595.766466,
Benchmark,linear,3600000,0.111487,290629634.643266,
Benchmark,linear,3700000,0.110016,298599673.520066,
Benchmark,linear,3800000,0.108603,306569712.396866,
Benchmark,linear,3900000,0.107245,314539751.273666,
Benchmark,linear,4000000,0.105938,322509790.150466,
