Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
GPU,ee-snowball1,
Type,Stepping,Simulation Paths,Accuracy,Latency,
Benchmark,linear,100000,0.360665,5648542.539474,
Benchmark,linear,200000,0.255228,9108264.261737,
Benchmark,linear,300000,0.208458,12567985.984001,
Benchmark,linear,400000,0.180560,16027707.706264,
Benchmark,linear,500000,0.161513,19487429.428527,
Benchmark,linear,600000,0.147450,22947151.150791,
Benchmark,linear,700000,0.136518,26406872.873054,
Benchmark,linear,800000,0.127704,29866594.595317,
Benchmark,linear,900000,0.120403,33326316.317581,
Benchmark,linear,1000000,0.114225,36786038.039844,
Benchmark,linear,1100000,0.108910,40245759.762107,
Benchmark,linear,1200000,0.104273,43705481.484371,
Benchmark,linear,1300000,0.100182,47165203.206634,
Benchmark,linear,1400000,0.096538,50624924.928897,
Benchmark,linear,1500000,0.093264,54084646.651161,
Benchmark,linear,1600000,0.090302,57544368.373424,
Benchmark,linear,1700000,0.087605,61004090.095687,
Benchmark,linear,1800000,0.085135,64463811.817951,
Benchmark,linear,1900000,0.082864,67923533.540214,
Benchmark,linear,2000000,0.080765,71383255.262477,
Benchmark,linear,2100000,0.078817,74842976.984741,
Benchmark,linear,2200000,0.077004,78302698.707004,
Benchmark,linear,2300000,0.075311,81762420.429268,
Benchmark,linear,2400000,0.073724,85222142.151531,
Benchmark,linear,2500000,0.072233,88681863.873794,
Benchmark,linear,2600000,0.070830,92141585.596058,
Benchmark,linear,2700000,0.069505,95601307.318321,
Benchmark,linear,2800000,0.068251,99061029.040584,
Benchmark,linear,2900000,0.067063,102520750.762848,
Benchmark,linear,3000000,0.065935,105980472.485111,
Benchmark,linear,3100000,0.064862,109440194.207374,
Benchmark,linear,3200000,0.063840,112899915.929638,
Benchmark,linear,3300000,0.062864,116359637.651901,
Benchmark,linear,3400000,0.061932,119819359.374164,
Benchmark,linear,3500000,0.061040,123279081.096428,
Benchmark,linear,3600000,0.060185,126738802.818691,
Benchmark,linear,3700000,0.059365,130198524.540954,
Benchmark,linear,3800000,0.058578,133658246.263218,
Benchmark,linear,3900000,0.057821,137117967.985481,
Benchmark,linear,4000000,0.057093,140577689.707744,
Benchmark,linear,4100000,0.056392,144037411.430008,
Benchmark,linear,4200000,0.055716,147497133.152271,
Benchmark,linear,4300000,0.055063,150956854.874535,
Benchmark,linear,4400000,0.054433,154416576.596798,
Benchmark,linear,4500000,0.053824,157876298.319061,
Benchmark,linear,4600000,0.053235,161336020.041325,
Benchmark,linear,4700000,0.052665,164795741.763588,
Benchmark,linear,4800000,0.052113,168255463.485851,
Benchmark,linear,4900000,0.051578,171715185.208115,
Benchmark,linear,5000000,0.051058,175174906.930378,
Benchmark,linear,5100000,0.050555,178634628.652641,
Benchmark,linear,5200000,0.050066,182094350.374905,
Benchmark,linear,5300000,0.049590,185554072.097168,
Benchmark,linear,5400000,0.049128,189013793.819431,
Benchmark,linear,5500000,0.048679,192473515.541695,
Benchmark,linear,5600000,0.048242,195933237.263958,
Benchmark,linear,5700000,0.047816,199392958.986221,
Benchmark,linear,5800000,0.047401,202852680.708485,
Benchmark,linear,5900000,0.046997,206312402.430748,
Benchmark,linear,6000000,0.046603,209772124.153011,
Benchmark,linear,6100000,0.046219,213231845.875275,
Benchmark,linear,6200000,0.045844,216691567.597538,
Benchmark,linear,6300000,0.045478,220151289.319801,
Benchmark,linear,6400000,0.045121,223611011.042065,
