Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
FPGA,maxstation1.doc.ic.ac.uk,
Type,Simulation Paths,Accuracy,Latency,
Benchmark,100000,0.547079,7712814.589123,
Benchmark,200000,0.383209,10118536.003773,
Benchmark,300000,0.310613,12524257.418424,
Benchmark,400000,0.267336,14929978.833075,
Benchmark,500000,0.237803,17335700.247726,
Benchmark,600000,0.216003,19741421.662376,
Benchmark,700000,0.199059,22147143.077027,
Benchmark,800000,0.185402,24552864.491678,
Benchmark,900000,0.174089,26958585.906329,
Benchmark,1000000,0.164518,29364307.320979,
Benchmark,1100000,0.156285,31770028.735630,
Benchmark,1200000,0.149103,34175750.150281,
Benchmark,1300000,0.142767,36581471.564932,
Benchmark,1400000,0.137122,38987192.979582,
Benchmark,1500000,0.132052,41392914.394233,
Benchmark,1600000,0.127465,43798635.808884,
Benchmark,1700000,0.123289,46204357.223535,
Benchmark,1800000,0.119466,48610078.638185,
Benchmark,1900000,0.115948,51015800.052836,
Benchmark,2000000,0.112698,53421521.467487,
Benchmark,2100000,0.109683,55827242.882137,
Benchmark,2200000,0.106876,58232964.296788,
Benchmark,2300000,0.104254,60638685.711439,
Benchmark,2400000,0.101798,63044407.126090,
Benchmark,2500000,0.099491,65450128.540740,
Benchmark,2600000,0.097318,67855849.955391,
Benchmark,2700000,0.095267,70261571.370042,
Benchmark,2800000,0.093326,72667292.784693,
Benchmark,2900000,0.091487,75073014.199343,
Benchmark,3000000,0.089741,77478735.613994,
Benchmark,3100000,0.088080,79884457.028645,
Benchmark,3200000,0.086498,82290178.443296,
Benchmark,3300000,0.084987,84695899.857946,
Benchmark,3400000,0.083545,87101621.272597,
Benchmark,3500000,0.082164,89507342.687248,
Benchmark,3600000,0.080841,91913064.101898,
Benchmark,3700000,0.079572,94318785.516549,
Benchmark,3800000,0.078354,96724506.931200,
Benchmark,3900000,0.077183,99130228.345851,
Benchmark,4000000,0.076056,101535949.760501,
Benchmark,4100000,0.074971,103941671.175152,
Benchmark,4200000,0.073924,106347392.589803,
Benchmark,4300000,0.072914,108753114.004454,
Benchmark,4400000,0.071939,111158835.419104,
Benchmark,4500000,0.070997,113564556.833755,
Benchmark,4600000,0.070085,115970278.248406,
Benchmark,4700000,0.069203,118375999.663057,
Benchmark,4800000,0.068348,120781721.077707,
Benchmark,4900000,0.067520,123187442.492358,
Benchmark,5000000,0.066717,125593163.907009,
Benchmark,5100000,0.065937,127998885.321659,
Benchmark,5200000,0.065180,130404606.736310,
Benchmark,5300000,0.064445,132810328.150961,
Benchmark,5400000,0.063730,135216049.565612,
Benchmark,5500000,0.063035,137621770.980262,
Benchmark,5600000,0.062358,140027492.394913,
Benchmark,5700000,0.061699,142433213.809564,
Benchmark,5800000,0.061058,144838935.224215,
Benchmark,5900000,0.060432,147244656.638865,
Benchmark,6000000,0.059823,149650378.053516,
Benchmark,6100000,0.059228,152056099.468167,
Benchmark,6200000,0.058648,154461820.882818,
Benchmark,6300000,0.058082,156867542.297468,
Benchmark,6400000,0.057529,159273263.712119,
Benchmark,6500000,0.056989,161678985.126770,
Benchmark,6600000,0.056461,164084706.541420,
Benchmark,6700000,0.055946,166490427.956071,
Benchmark,6800000,0.055441,168896149.370722,
Benchmark,6900000,0.054948,171301870.785373,
Benchmark,7000000,0.054465,173707592.200023,
Benchmark,7100000,0.053992,176113313.614674,
Benchmark,7200000,0.053530,178519035.029325,
Benchmark,7300000,0.053076,180924756.443976,
Benchmark,7400000,0.052632,183330477.858626,
Benchmark,7500000,0.052197,185736199.273277,
Benchmark,7600000,0.051771,188141920.687928,
Benchmark,7700000,0.051353,190547642.102579,
Benchmark,7800000,0.050943,192953363.517229,
Benchmark,7900000,0.050541,195359084.931880,
Benchmark,8000000,0.050146,197764806.346531,
Benchmark,8100000,0.049759,200170527.761181,
Benchmark,8200000,0.049378,202576249.175832,
Benchmark,8300000,0.049005,204981970.590483,
Benchmark,8400000,0.048638,207387692.005134,
Benchmark,8500000,0.048278,209793413.419784,
Benchmark,8600000,0.047924,212199134.834435,
Benchmark,8700000,0.047577,214604856.249086,
Benchmark,8800000,0.047235,217010577.663737,
Benchmark,8900000,0.046899,219416299.078387,
Benchmark,9000000,0.046569,221822020.493038,
Benchmark,9100000,0.046244,224227741.907689,
Benchmark,9200000,0.045924,226633463.322340,
Benchmark,9300000,0.045610,229039184.736990,
Benchmark,9400000,0.045300,231444906.151641,
Benchmark,9500000,0.044996,233850627.566292,
Benchmark,9600000,0.044696,236256348.980943,
Benchmark,9700000,0.044401,238662070.395593,
Benchmark,9800000,0.044110,241067791.810244,
Benchmark,9900000,0.043824,243473513.224895,
Benchmark,10000000,0.043542,245879234.639545,
Projection,10000000,0.043542,245879234.639545,
Projection,10100000,0.043264,248284956.054196,
Projection,10200000,0.042991,250690677.468847,
Projection,10300000,0.042721,253096398.883498,
Projection,10400000,0.042456,255502120.298148,
Projection,10500000,0.042194,257907841.712799,
Projection,10600000,0.041936,260313563.127450,
Projection,10700000,0.041681,262719284.542101,
Projection,10800000,0.041430,265125005.956751,
Projection,10900000,0.041183,267530727.371402,
Projection,11000000,0.040938,269936448.786053,
Projection,11100000,0.040698,272342170.200704,
Projection,11200000,0.040460,274747891.615354,
Projection,11300000,0.040226,277153613.030005,
Projection,11400000,0.039994,279559334.444656,
Projection,11500000,0.039766,281965055.859306,
Projection,11600000,0.039540,284370777.273957,
Projection,11700000,0.039318,286776498.688608,
Projection,11800000,0.039098,289182220.103259,
Projection,11900000,0.038882,291587941.517909,
Projection,12000000,0.038667,293993662.932560,
Projection,12100000,0.038456,296399384.347211,
Projection,12200000,0.038247,298805105.761862,
Projection,12300000,0.038041,301210827.176512,
Projection,12400000,0.037837,303616548.591163,
Projection,12500000,0.037635,306022270.005814,
Projection,12600000,0.037437,308427991.420465,
Projection,12700000,0.037240,310833712.835115,
Projection,12800000,0.037046,313239434.249766,
Projection,12900000,0.036854,315645155.664417,
Projection,13000000,0.036664,318050877.079067,
Projection,13100000,0.036476,320456598.493718,
Projection,13200000,0.036291,322862319.908369,
Projection,13300000,0.036107,325268041.323020,
Projection,13400000,0.035926,327673762.737670,
Projection,13500000,0.035746,330079484.152321,
Projection,13600000,0.035569,332485205.566972,
Projection,13700000,0.035394,334890926.981623,
Projection,13800000,0.035220,337296648.396273,
Projection,13900000,0.035049,339702369.810924,
Projection,14000000,0.034879,342108091.225575,
Projection,14100000,0.034711,344513812.640226,
Projection,14200000,0.034545,346919534.054876,
Projection,14300000,0.034380,349325255.469527,
Projection,14400000,0.034217,351730976.884178,
Projection,14500000,0.034056,354136698.298828,
Projection,14600000,0.033897,356542419.713479,
Projection,14700000,0.033739,358948141.128130,
Projection,14800000,0.033583,361353862.542781,
Projection,14900000,0.033428,363759583.957431,
Projection,15000000,0.033275,366165305.372082,
Projection,15100000,0.033124,368571026.786733,
Projection,15200000,0.032974,370976748.201384,
Projection,15300000,0.032825,373382469.616034,
Projection,15400000,0.032678,375788191.030685,
Projection,15500000,0.032533,378193912.445336,
Projection,15600000,0.032388,380599633.859987,
Projection,15700000,0.032245,383005355.274637,
Projection,15800000,0.032104,385411076.689288,
Projection,15900000,0.031964,387816798.103939,
Projection,16000000,0.031825,390222519.518589,
Projection,16100000,0.031687,392628240.933240,
Projection,16200000,0.031551,395033962.347891,
Projection,16300000,0.031416,397439683.762542,
Projection,16400000,0.031282,399845405.177192,
Projection,16500000,0.031149,402251126.591843,
Projection,16600000,0.031018,404656848.006494,
Projection,16700000,0.030888,407062569.421145,
Projection,16800000,0.030759,409468290.835795,
Projection,16900000,0.030631,411874012.250446,
Projection,17000000,0.030504,414279733.665097,
Projection,17100000,0.030378,416685455.079748,
Projection,17200000,0.030282,419091176.494398,
Projection,17300000,0.030205,421496897.909049,
Projection,17400000,0.030128,423902619.323700,
Projection,17500000,0.030051,426308340.738351,
Projection,17600000,0.029976,428714062.153001,
Projection,17700000,0.029901,431119783.567652,
Projection,17800000,0.029826,433525504.982303,
Projection,17900000,0.029752,435931226.396954,
Projection,18000000,0.029679,438336947.811604,
Projection,18100000,0.029607,440742669.226255,
Projection,18200000,0.029535,443148390.640906,
Projection,18300000,0.029463,445554112.055556,
Projection,18400000,0.029393,447959833.470207,
Projection,18500000,0.029322,450365554.884858,
Projection,18600000,0.029253,452771276.299509,
Projection,18700000,0.029184,455176997.714159,
Projection,18800000,0.029115,457582719.128810,
Projection,18900000,0.029047,459988440.543461,
Projection,19000000,0.028980,462394161.958112,
Projection,19100000,0.028913,464799883.372762,
Projection,19200000,0.028846,467205604.787413,
Projection,19300000,0.028781,469611326.202064,
Projection,19400000,0.028715,472017047.616714,
Projection,19500000,0.028650,474422769.031365,
Projection,19600000,0.028586,476828490.446016,
Projection,19700000,0.028522,479234211.860667,
Projection,19800000,0.028459,481639933.275317,
Projection,19900000,0.028396,484045654.689968,
Projection,20000000,0.028333,486451376.104619,
Projection,20100000,0.028271,488857097.519270,
Projection,20200000,0.028210,491262818.933920,
Projection,20300000,0.028149,493668540.348571,
Projection,20400000,0.028088,496074261.763222,
Projection,20500000,0.028028,498479983.177873,
Projection,20600000,0.027968,500885704.592523,
Projection,20700000,0.027909,503291426.007174,
Projection,20800000,0.027850,505697147.421825,
Projection,20900000,0.027792,508102868.836475,
Projection,21000000,0.027734,510508590.251126,
Projection,21100000,0.027676,512914311.665777,
Projection,21200000,0.027619,515320033.080428,
Projection,21300000,0.027562,517725754.495078,
Projection,21400000,0.027506,520131475.909729,
Projection,21500000,0.027450,522537197.324380,
Projection,21600000,0.027394,524942918.739031,
Projection,21700000,0.027339,527348640.153681,
Projection,21800000,0.027284,529754361.568332,
Projection,21900000,0.027229,532160082.982983,
Projection,22000000,0.027175,534565804.397634,
Projection,22100000,0.027122,536971525.812284,
Projection,22200000,0.027068,539377247.226935,
Projection,22300000,0.027015,541782968.641586,
Projection,22400000,0.026963,544188690.056237,
Projection,22500000,0.026910,546594411.470887,
Projection,22600000,0.026858,549000132.885538,
Projection,22700000,0.026807,551405854.300189,
Projection,22800000,0.026755,553811575.714839,
Projection,22900000,0.026705,556217297.129490,
Projection,23000000,0.026654,558623018.544141,
Projection,23100000,0.026604,561028739.958792,
Projection,23200000,0.026554,563434461.373442,
Projection,23300000,0.026504,565840182.788093,
Projection,23400000,0.026455,568245904.202744,
Projection,23500000,0.026406,570651625.617395,
Projection,23600000,0.026357,573057347.032045,
Projection,23700000,0.026309,575463068.446696,
Projection,23800000,0.026261,577868789.861347,
Projection,23900000,0.026213,580274511.275998,
Projection,24000000,0.026165,582680232.690648,
Projection,24100000,0.026118,585085954.105299,
Projection,24200000,0.026071,587491675.519950,
Projection,24300000,0.026025,589897396.934600,
Projection,24400000,0.025978,592303118.349251,
Projection,24500000,0.025932,594708839.763902,
Projection,24600000,0.025887,597114561.178553,
Projection,24700000,0.025841,599520282.593203,
Projection,24800000,0.025796,601926004.007854,
Projection,24900000,0.025751,604331725.422505,
Projection,25000000,0.025706,606737446.837156,
Projection,25100000,0.025662,609143168.251806,
Projection,25200000,0.025618,611548889.666457,
Projection,25300000,0.025574,613954611.081108,
Projection,25400000,0.025531,616360332.495759,
Projection,25500000,0.025487,618766053.910409,
Projection,25600000,0.025444,621171775.325060,
Projection,25700000,0.025401,623577496.739711,
Projection,25800000,0.025359,625983218.154361,
Projection,25900000,0.025316,628388939.569012,
Projection,26000000,0.025274,630794660.983663,
Projection,26100000,0.025232,633200382.398314,
Projection,26200000,0.025191,635606103.812964,
Projection,26300000,0.025149,638011825.227615,
Projection,26400000,0.025108,640417546.642266,
Projection,26500000,0.025067,642823268.056917,
Projection,26600000,0.025027,645228989.471567,
Projection,26700000,0.024986,647634710.886218,
Projection,26800000,0.024946,650040432.300869,
Projection,26900000,0.024906,652446153.715520,
Projection,27000000,0.024866,654851875.130170,
Projection,27100000,0.024827,657257596.544821,
Projection,27200000,0.024787,659663317.959472,
Projection,27300000,0.024748,662069039.374122,
Projection,27400000,0.024709,664474760.788773,
Projection,27500000,0.024671,666880482.203424,
Projection,27600000,0.024632,669286203.618075,
Projection,27700000,0.024594,671691925.032725,
Projection,27800000,0.024556,674097646.447376,
Projection,27900000,0.024518,676503367.862027,
Projection,28000000,0.024480,678909089.276678,
Projection,28100000,0.024443,681314810.691328,
Projection,28200000,0.024406,683720532.105979,
Projection,28300000,0.024369,686126253.520630,
Projection,28400000,0.024332,688531974.935281,
Projection,28500000,0.024295,690937696.349931,
Projection,28600000,0.024259,693343417.764582,
Projection,28700000,0.024222,695749139.179233,
Projection,28800000,0.024186,698154860.593884,
Projection,28900000,0.024150,700560582.008534,
Projection,29000000,0.024115,702966303.423185,
Projection,29100000,0.024079,705372024.837836,
Projection,29200000,0.024044,707777746.252486,
Projection,29300000,0.024009,710183467.667137,
Projection,29400000,0.023974,712589189.081788,
Projection,29500000,0.023939,714994910.496439,
Projection,29600000,0.023904,717400631.911089,
Projection,29700000,0.023870,719806353.325740,
Projection,29800000,0.023835,722212074.740391,
Projection,29900000,0.023801,724617796.155042,
Projection,30000000,0.023767,727023517.569692,
Projection,30100000,0.023734,729429238.984343,
Projection,30200000,0.023700,731834960.398994,
Projection,30300000,0.023667,734240681.813644,
Projection,30400000,0.023633,736646403.228295,
Projection,30500000,0.023600,739052124.642946,
Projection,30600000,0.023567,741457846.057597,
Projection,30700000,0.023534,743863567.472247,
Projection,30800000,0.023502,746269288.886898,
Projection,30900000,0.023469,748675010.301549,
Projection,31000000,0.023437,751080731.716200,
Projection,31100000,0.023405,753486453.130850,
Projection,31200000,0.023373,755892174.545501,
Projection,31300000,0.023341,758297895.960152,
Projection,31400000,0.023309,760703617.374803,
Projection,31500000,0.023278,763109338.789453,
Projection,31600000,0.023246,765515060.204104,
Projection,31700000,0.023215,767920781.618755,
Projection,31800000,0.023184,770326503.033406,
Projection,31900000,0.023153,772732224.448056,
Projection,32000000,0.023122,775137945.862707,
Projection,32100000,0.023092,777543667.277358,
Projection,32200000,0.023061,779949388.692008,
Projection,32300000,0.023031,782355110.106659,
Projection,32400000,0.023000,784760831.521310,
Projection,32500000,0.022970,787166552.935961,
Projection,32600000,0.022940,789572274.350611,
Projection,32700000,0.022911,791977995.765262,
Projection,32800000,0.022881,794383717.179913,
Projection,32900000,0.022851,796789438.594564,
Projection,33000000,0.022822,799195160.009214,
Projection,33100000,0.022793,801600881.423865,
Projection,33200000,0.022763,804006602.838516,
Projection,33300000,0.022734,806412324.253167,
Projection,33400000,0.022706,808818045.667817,
Projection,33500000,0.022677,811223767.082468,
Projection,33600000,0.022648,813629488.497119,
Projection,33700000,0.022620,816035209.911770,
Projection,33800000,0.022591,818440931.326420,
Projection,33900000,0.022563,820846652.741071,
Projection,34000000,0.022535,823252374.155722,
Projection,34100000,0.022507,825658095.570372,
Projection,34200000,0.022479,828063816.985023,
Projection,34300000,0.022451,830469538.399674,
Projection,34400000,0.022424,832875259.814325,
Projection,34500000,0.022396,835280981.228975,
Projection,34600000,0.022369,837686702.643626,
Projection,34700000,0.022341,840092424.058277,
Projection,34800000,0.022314,842498145.472928,
Projection,34900000,0.022287,844903866.887578,
Projection,35000000,0.022260,847309588.302229,
Projection,35100000,0.022233,849715309.716880,
Projection,35200000,0.022207,852121031.131531,
Projection,35300000,0.022180,854526752.546181,
Projection,35400000,0.022154,856932473.960832,
Projection,35500000,0.022127,859338195.375483,
Projection,35600000,0.022101,861743916.790133,
Projection,35700000,0.022075,864149638.204784,
Projection,35800000,0.022049,866555359.619435,
Projection,35900000,0.022023,868961081.034086,
Projection,36000000,0.021997,871366802.448736,
Projection,36100000,0.021971,873772523.863387,
Projection,36200000,0.021946,876178245.278038,
Projection,36300000,0.021920,878583966.692689,
Projection,36400000,0.021895,880989688.107339,
Projection,36500000,0.021870,883395409.521990,
Projection,36600000,0.021845,885801130.936641,
Projection,36700000,0.021819,888206852.351291,
Projection,36800000,0.021794,890612573.765942,
Projection,36900000,0.021770,893018295.180593,
Projection,37000000,0.021745,895424016.595244,
Projection,37100000,0.021720,897829738.009894,
Projection,37200000,0.021696,900235459.424545,
Projection,37300000,0.021671,902641180.839196,
Projection,37400000,0.021647,905046902.253847,
Projection,37500000,0.021622,907452623.668497,
Projection,37600000,0.021598,909858345.083148,
Projection,37700000,0.021574,912264066.497799,
Projection,37800000,0.021550,914669787.912450,
Projection,37900000,0.021526,917075509.327100,
Projection,38000000,0.021503,919481230.741751,
Projection,38100000,0.021479,921886952.156402,
Projection,38200000,0.021455,924292673.571053,
