Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
CPU,maxworkstation7240.localdomain,
Type,Simulation Paths,Accuracy,Latency,
Benchmark,10000,2.095825,6170665.137348,
Benchmark,20000,1.481972,12303196.754924,
Benchmark,30000,1.210025,18435728.372500,
Benchmark,40000,1.047913,24568259.990075,
Benchmark,50000,0.937282,30700791.607651,
Benchmark,60000,0.855617,36833323.225227,
Benchmark,70000,0.792147,42965854.842803,
Benchmark,80000,0.740986,49098386.460378,
Benchmark,90000,0.698608,55230918.077954,
Benchmark,100000,0.662758,61363449.695530,
Projection,100000,0.662758,61363449.695530,
Projection,110000,0.631915,67495981.313106,
Projection,120000,0.605013,73628512.930682,
Projection,130000,0.581277,79761044.548257,
Projection,140000,0.560133,85893576.165833,
Projection,150000,0.541140,92026107.783409,
Projection,160000,0.523956,98158639.400985,
Projection,170000,0.508312,104291171.018560,
Projection,180000,0.493991,110423702.636136,
Projection,190000,0.480815,116556234.253712,
Projection,200000,0.468641,122688765.871288,
Projection,210000,0.457347,128821297.488863,
Projection,220000,0.446831,134953829.106439,
Projection,230000,0.437010,141086360.724015,
Projection,240000,0.427809,147218892.341591,
Projection,250000,0.419165,153351423.959166,
Projection,260000,0.411025,159483955.576742,
Projection,270000,0.403342,165616487.194318,
Projection,280000,0.396074,171749018.811894,
Projection,290000,0.389185,177881550.429469,
Projection,300000,0.382644,184014082.047045,
Projection,310000,0.376421,190146613.664621,
Projection,320000,0.370493,196279145.282197,
Projection,330000,0.364836,202411676.899773,
Projection,340000,0.359431,208544208.517348,
Projection,350000,0.354259,214676740.134924,
Projection,360000,0.349304,220809271.752500,
Projection,370000,0.344552,226941803.370076,
Projection,380000,0.339988,233074334.987651,
Projection,390000,0.335601,239206866.605227,
Projection,400000,0.331379,245339398.222803,
Projection,410000,0.327313,251471929.840379,
Projection,420000,0.323393,257604461.457954,
Projection,430000,0.319610,263736993.075530,
Projection,440000,0.315958,269869524.693106,
Projection,450000,0.312427,276002056.310682,
Projection,460000,0.309013,282134587.928257,
Projection,470000,0.305708,288267119.545833,
Projection,480000,0.302506,294399651.163409,
Projection,490000,0.299404,300532182.780985,
Projection,500000,0.296394,306664714.398560,
Mean Verification,100000,0.668926,61279144.787788,
Std Verification,100000,0.033961,48006.648398,
Mean Verification,110000,0.610159,67656566.381454,
Std Verification,110000,0.021212,877173.688144,
Mean Verification,120000,0.604344,73536581.230164,
Std Verification,120000,0.058350,95425.401490,
Mean Verification,130000,0.557348,79600061.440468,
Std Verification,130000,0.020042,63994.281475,
Mean Verification,140000,0.582311,85820686.531067,
Std Verification,140000,0.064952,280692.953668,
Mean Verification,150000,0.526574,92057544.946671,
Std Verification,150000,0.030495,550882.975048,
Mean Verification,160000,0.523898,98144787.025452,
Std Verification,160000,0.028586,502627.071396,
Mean Verification,170000,0.507097,104396152.400970,
Std Verification,170000,0.021839,716515.976855,
Mean Verification,180000,0.494313,110343876.671791,
Std Verification,180000,0.024105,407833.264232,
Mean Verification,190000,0.468707,116641518.783569,
Std Verification,190000,0.014698,1053897.678379,
Mean Verification,200000,0.459353,122444181.704521,
Std Verification,200000,0.012570,60559.089230,
Mean Verification,210000,0.447977,128795292.639732,
Std Verification,210000,0.016990,610181.285397,
Mean Verification,220000,0.451221,134878059.482574,
Std Verification,220000,0.028267,786805.436117,
Mean Verification,230000,0.440698,141183628.654480,
Std Verification,230000,0.019142,1246875.568045,
Mean Verification,240000,0.439514,147060754.728317,
Std Verification,240000,0.015888,749049.113853,
Mean Verification,250000,0.421318,153446905.016899,
Std Verification,250000,0.015775,1381558.121817,
Mean Verification,260000,0.435346,159771719.694138,
Std Verification,260000,0.070424,2132074.707219,
Mean Verification,270000,0.404628,165181227.970123,
Std Verification,270000,0.032010,74754.628494,
Mean Verification,280000,0.395950,171454702.377319,
Std Verification,280000,0.018675,668368.339382,
Mean Verification,290000,0.387041,177389888.739586,
Std Verification,290000,0.008475,111237.228116,
Mean Verification,300000,0.401958,183933908.653259,
Std Verification,300000,0.053485,1284164.488817,
Mean Verification,310000,0.384751,190514476.323128,
Std Verification,310000,0.028909,2106879.031922,
Mean Verification,320000,0.378474,195723627.924919,
Std Verification,320000,0.026730,125193.166545,
Mean Verification,330000,0.372458,202446221.041679,
Std Verification,330000,0.032013,1845988.607761,
Mean Verification,340000,0.369584,207998445.963860,
Std Verification,340000,0.023514,75905.581976,
