Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
CPU,ee-benjamin.ee.ic.ac.uk,
Type,Simulation Paths,Accuracy,Latency,
Benchmark,10000,2.013632,1337034.420534,
Benchmark,20000,1.405817,2229682.307966,
Benchmark,30000,1.136545,3122330.195398,
Benchmark,40000,0.976027,4014978.082830,
Benchmark,50000,0.866484,4907625.970262,
Benchmark,60000,0.785623,5800273.857695,
Benchmark,70000,0.722777,6692921.745127,
Benchmark,80000,0.672119,7585569.632559,
Benchmark,90000,0.630158,8478217.519991,
Benchmark,100000,0.594661,9370865.407424,
Projection,100000,0.594661,9370865.407424,
Projection,110000,0.564121,10263513.294856,
Projection,120000,0.537483,11156161.182288,
Projection,130000,0.513981,12048809.069720,
Projection,140000,0.493045,12941456.957152,
Projection,150000,0.474238,13834104.844585,
Projection,160000,0.457224,14726752.732017,
Projection,170000,0.441734,15619400.619449,
Projection,180000,0.427553,16512048.506881,
Projection,190000,0.414507,17404696.394313,
Projection,200000,0.402453,18297344.281746,
Projection,210000,0.391270,19189992.169178,
Projection,220000,0.380858,20082640.056610,
Projection,230000,0.371133,20975287.944042,
Projection,240000,0.362022,21867935.831475,
Projection,250000,0.353464,22760583.718907,
Projection,260000,0.345404,23653231.606339,
Projection,270000,0.337796,24545879.493771,
Projection,280000,0.330599,25438527.381203,
Projection,290000,0.323778,26331175.268636,
Projection,300000,0.317301,27223823.156068,
Projection,310000,0.311140,28116471.043500,
Projection,320000,0.305270,29009118.930932,
Projection,330000,0.299669,29901766.818364,
Projection,340000,0.294317,30794414.705797,
Projection,350000,0.289196,31687062.593229,
Projection,360000,0.284290,32579710.480661,
Projection,370000,0.279584,33472358.368093,
Projection,380000,0.275065,34365006.255526,
Projection,390000,0.270721,35257654.142958,
Projection,400000,0.266541,36150302.030390,
Projection,410000,0.262515,37042949.917822,
Projection,420000,0.258633,37935597.805254,
Projection,430000,0.254888,38828245.692687,
Projection,440000,0.251271,39720893.580119,
Projection,450000,0.247776,40613541.467551,
Projection,460000,0.244395,41506189.354983,
Projection,470000,0.241122,42398837.242415,
Projection,480000,0.237952,43291485.129848,
Projection,490000,0.234880,44184133.017280,
Projection,500000,0.231901,45076780.904712,
Projection,510000,0.229009,45969428.792144,
Projection,520000,0.226201,46862076.679577,
Projection,530000,0.223474,47754724.567009,
Projection,540000,0.220822,48647372.454441,
Projection,550000,0.218243,49540020.341873,
Projection,560000,0.215733,50432668.229305,
Projection,570000,0.213290,51325316.116738,
Projection,580000,0.210910,52217964.004170,
Projection,590000,0.208591,53110611.891602,
Projection,600000,0.206330,54003259.779034,
Projection,610000,0.204125,54895907.666466,
Projection,620000,0.201973,55788555.553899,
Projection,630000,0.199873,56681203.441331,
Projection,640000,0.197823,57573851.328763,
Projection,650000,0.195820,58466499.216195,
Projection,660000,0.193862,59359147.103628,
Projection,670000,0.191949,60251794.991060,
Projection,680000,0.190078,61144442.878492,
Projection,690000,0.188247,62037090.765924,
Projection,700000,0.186457,62929738.653356,
Projection,710000,0.184704,63822386.540789,
Projection,720000,0.182987,64715034.428221,
Projection,730000,0.181307,65607682.315653,
Projection,740000,0.179660,66500330.203085,
Projection,750000,0.178046,67392978.090517,
Projection,760000,0.176464,68285625.977950,
Projection,770000,0.174914,69178273.865382,
Projection,780000,0.173393,70070921.752814,
Projection,790000,0.171901,70963569.640246,
Projection,800000,0.170437,71856217.527679,
Projection,810000,0.169000,72748865.415111,
Projection,820000,0.167590,73641513.302543,
Projection,830000,0.166205,74534161.189975,
Projection,840000,0.164846,75426809.077407,
Projection,850000,0.163510,76319456.964840,
Projection,860000,0.162197,77212104.852272,
Projection,870000,0.160907,78104752.739704,
Projection,880000,0.159640,78997400.627136,
Projection,890000,0.158393,79890048.514568,
Projection,900000,0.157168,80782696.402001,
Projection,910000,0.155963,81675344.289433,
Projection,920000,0.154777,82567992.176865,
Projection,930000,0.153611,83460640.064297,
Projection,940000,0.152463,84353287.951730,
Projection,950000,0.151334,85245935.839162,
Projection,960000,0.150222,86138583.726594,
Projection,970000,0.149127,87031231.614026,
Projection,980000,0.148049,87923879.501458,
Projection,990000,0.146988,88816527.388891,
Projection,1000000,0.145943,89709175.276323,
Mean Verification,100000,0.650208,9365013.098717,
Std Verification,100000,0.131571,255386.044411,
Mean Verification,110000,0.537068,9632951.545715,
Std Verification,110000,0.050658,241174.486884,
Mean Verification,120000,0.534000,10580671.215057,
Std Verification,120000,0.054681,283781.135342,
Mean Verification,130000,0.493006,11483509.612083,
Std Verification,130000,0.026549,313400.053585,
Mean Verification,140000,0.577346,13086238.408089,
Std Verification,140000,0.158098,371135.678268,
Mean Verification,150000,0.495632,13632787.561417,
Std Verification,150000,0.044825,410387.737765,
Mean Verification,160000,0.956282,14279093.647003,
