Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
CPU,ee-mollie,
Type,Simulation Paths,Accuracy,Latency,
Benchmark,10000,2.049326,6188147.008636,
Benchmark,20000,1.440824,12299930.580891,
Benchmark,30000,1.171248,18411714.153145,
Benchmark,40000,1.010548,24523497.725400,
Benchmark,50000,0.900882,30635281.297655,
Benchmark,60000,0.819929,36747064.869910,
Benchmark,70000,0.757013,42858848.442164,
Benchmark,80000,0.706297,48970632.014419,
Benchmark,90000,0.664289,55082415.586674,
Benchmark,100000,0.628751,61194199.158929,
Projection,100000,0.628751,61194199.158929,
Projection,110000,0.598177,67305982.731183,
Projection,120000,0.571509,73417766.303438,
Projection,130000,0.547981,79529549.875693,
Projection,140000,0.527020,85641333.447948,
Projection,150000,0.508193,91753117.020202,
Projection,160000,0.491159,97864900.592457,
Projection,170000,0.475652,103976684.164712,
Projection,180000,0.461455,110088467.736967,
Projection,190000,0.448394,116200251.309222,
Projection,200000,0.436326,122312034.881476,
Projection,210000,0.425130,128423818.453731,
Projection,220000,0.414707,134535602.025986,
Projection,230000,0.404971,140647385.598241,
Projection,240000,0.395850,146759169.170495,
Projection,250000,0.387281,152870952.742750,
Projection,260000,0.379212,158982736.315005,
Projection,270000,0.371596,165094519.887260,
Projection,280000,0.364391,171206303.459514,
Projection,290000,0.357563,177318087.031769,
Projection,300000,0.351078,183429870.604024,
Projection,310000,0.344910,189541654.176279,
Projection,320000,0.339034,195653437.748533,
Projection,330000,0.333426,201765221.320788,
Projection,340000,0.328068,207877004.893043,
Projection,350000,0.322941,213988788.465298,
Projection,360000,0.318030,220100572.037552,
Projection,370000,0.313318,226212355.609807,
Projection,380000,0.308794,232324139.182062,
Projection,390000,0.304445,238435922.754317,
Projection,400000,0.300261,244547706.326572,
Projection,410000,0.296230,250659489.898826,
Projection,420000,0.292344,256771273.471081,
Projection,430000,0.288595,262883057.043336,
Projection,440000,0.284974,268994840.615591,
Projection,450000,0.281474,275106624.187845,
Projection,460000,0.278089,281218407.760100,
Projection,470000,0.274813,287330191.332355,
Projection,480000,0.271640,293441974.904610,
Projection,490000,0.268564,299553758.476864,
Projection,500000,0.265581,305665542.049119,
Projection,510000,0.262686,311777325.621374,
Projection,520000,0.259875,317889109.193629,
Projection,530000,0.257144,324000892.765883,
Projection,540000,0.254490,330112676.338138,
Projection,550000,0.251908,336224459.910393,
Projection,560000,0.249395,342336243.482648,
Projection,570000,0.246949,348448027.054902,
Projection,580000,0.244567,354559810.627157,
Projection,590000,0.242245,360671594.199412,
Projection,600000,0.239982,366783377.771667,
Projection,610000,0.237774,372895161.343921,
Projection,620000,0.235620,379006944.916176,
Projection,630000,0.233518,385118728.488431,
Projection,640000,0.231465,391230512.060686,
Projection,650000,0.229459,397342295.632941,
Projection,660000,0.227500,403454079.205195,
Projection,670000,0.225584,409565862.777450,
Projection,680000,0.223711,415677646.349705,
Projection,690000,0.221879,421789429.921960,
Projection,700000,0.220086,427901213.494214,
Projection,710000,0.218331,434012997.066469,
Projection,720000,0.216613,440124780.638724,
Projection,730000,0.214930,446236564.210979,
Projection,740000,0.213281,452348347.783233,
Projection,750000,0.211666,458460131.355488,
Projection,760000,0.210082,464571914.927743,
Projection,770000,0.208530,470683698.499998,
Projection,780000,0.207007,476795482.072252,
Projection,790000,0.205514,482907265.644507,
Projection,800000,0.204048,489019049.216762,
Projection,810000,0.202610,495130832.789017,
Projection,820000,0.201198,501242616.361272,
Projection,830000,0.199812,507354399.933526,
Projection,840000,0.198450,513466183.505781,
Projection,850000,0.197113,519577967.078036,
Projection,860000,0.195799,525689750.650291,
Projection,870000,0.194508,531801534.222545,
Projection,880000,0.193238,537913317.794800,
Projection,890000,0.191991,544025101.367055,
Projection,900000,0.190764,550136884.939310,
Projection,910000,0.189557,556248668.511564,
Projection,920000,0.188370,562360452.083819,
Projection,930000,0.187203,568472235.656074,
Projection,940000,0.186054,574584019.228329,
Projection,950000,0.184923,580695802.800583,
Projection,960000,0.183810,586807586.372838,
Projection,970000,0.182714,592919369.945093,
Projection,980000,0.181635,599031153.517348,
Projection,990000,0.180572,605142937.089602,
Projection,1000000,0.179526,611254720.661857,
