Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
GPU,ee-snowball1,
Type,Simulation Paths,Accuracy,Latency,
Benchmark,100000,0.406292,5732337.444479,
Benchmark,200000,0.281026,8947424.470295,
Benchmark,300000,0.225532,12162511.496110,
Benchmark,400000,0.192451,15377598.521926,
Benchmark,500000,0.169875,18592685.547742,
Benchmark,600000,0.153210,21807772.573558,
Benchmark,700000,0.140258,25022859.599374,
Benchmark,800000,0.129818,28237946.625189,
Benchmark,900000,0.121170,31453033.651005,
Benchmark,1000000,0.113854,34668120.676821,
Projection,1000000,0.113854,34668120.676821,
Projection,1100000,0.107561,37883207.702637,
Projection,1200000,0.102071,41098294.728453,
Projection,1300000,0.097227,44313381.754268,
Projection,1400000,0.092912,47528468.780084,
Projection,1500000,0.089037,50743555.805900,
Projection,1600000,0.085530,53958642.831716,
Projection,1700000,0.082338,57173729.857531,
Projection,1800000,0.079415,60388816.883347,
Projection,1900000,0.076727,63603903.909163,
Projection,2000000,0.074242,66818990.934979,
Projection,2100000,0.071937,70034077.960795,
Projection,2200000,0.069792,73249164.986610,
Projection,2300000,0.067787,76464252.012426,
Projection,2400000,0.065910,79679339.038242,
Projection,2500000,0.064146,82894426.064058,
Projection,2600000,0.062485,86109513.089874,
Projection,2700000,0.060917,89324600.115689,
Projection,2800000,0.059434,92539687.141505,
Projection,2900000,0.058028,95754774.167321,
Projection,3000000,0.056693,98969861.193137,
Projection,3100000,0.055423,102184948.218953,
Projection,3200000,0.054214,105400035.244768,
Projection,3300000,0.053059,108615122.270584,
Projection,3400000,0.051956,111830209.296400,
Projection,3500000,0.050901,115045296.322216,
Projection,3600000,0.049890,118260383.348031,
Projection,3700000,0.048920,121475470.373847,
Projection,3800000,0.047989,124690557.399663,
Projection,3900000,0.047093,127905644.425479,
Projection,4000000,0.046232,131120731.451295,
Projection,4100000,0.045402,134335818.477110,
Projection,4200000,0.044602,137550905.502926,
Projection,4300000,0.043830,140765992.528742,
Projection,4400000,0.043085,143981079.554558,
Projection,4500000,0.042365,147196166.580374,
Projection,4600000,0.041668,150411253.606189,
Projection,4700000,0.040993,153626340.632005,
Projection,4800000,0.040340,156841427.657821,
Projection,4900000,0.039707,160056514.683637,
Projection,5000000,0.039093,163271601.709453,
Projection,5100000,0.038497,166486688.735268,
Projection,5200000,0.037918,169701775.761084,
Projection,5300000,0.037356,172916862.786900,
Projection,5400000,0.036810,176131949.812716,
Projection,5500000,0.036278,179347036.838532,
Projection,5600000,0.035761,182562123.864347,
Projection,5700000,0.035257,185777210.890163,
Projection,5800000,0.034767,188992297.915979,
Projection,5900000,0.034289,192207384.941795,
Projection,6000000,0.033823,195422471.967610,
Projection,6100000,0.033369,198637558.993426,
Projection,6200000,0.032925,201852646.019242,
Projection,6300000,0.032492,205067733.045058,
Projection,6400000,0.032070,208282820.070874,
Projection,6500000,0.031657,211497907.096689,
Projection,6600000,0.031254,214712994.122505,
Projection,6700000,0.030859,217928081.148321,
Projection,6800000,0.030474,221143168.174137,
Projection,6900000,0.030096,224358255.199953,
Projection,7000000,0.029727,227573342.225768,
Projection,7100000,0.029366,230788429.251584,
Projection,7200000,0.029012,234003516.277400,
Projection,7300000,0.028666,237218603.303216,
Projection,7400000,0.028327,240433690.329032,
Projection,7500000,0.027994,243648777.354847,
Projection,7600000,0.027668,246863864.380663,
Projection,7700000,0.027348,250078951.406479,
Projection,7800000,0.027035,253294038.432295,
Projection,7900000,0.026727,256509125.458110,
Projection,8000000,0.026426,259724212.483926,
Projection,8100000,0.026130,262939299.509742,
Projection,8200000,0.025839,266154386.535558,
Projection,8300000,0.025554,269369473.561374,
Projection,8400000,0.025273,272584560.587189,
Projection,8500000,0.024998,275799647.613005,
Projection,8600000,0.024728,279014734.638821,
Projection,8700000,0.024462,282229821.664637,
Projection,8800000,0.024201,285444908.690453,
