Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
FPGA,maxstation1.doc.ic.ac.uk,
Type,Simulation Paths,Accuracy,Latency,
Benchmark,1000000,0.155825,29486888.286417,
Benchmark,2000000,0.109030,53571934.102665,
Benchmark,3000000,0.088299,77656979.918913,
Benchmark,4000000,0.075940,101742025.735162,
Benchmark,5000000,0.067507,125827071.551410,
Benchmark,6000000,0.061281,149912117.367658,
Benchmark,7000000,0.056443,173997163.183906,
Benchmark,8000000,0.052542,198082209.000154,
Benchmark,9000000,0.049312,222167254.816402,
Benchmark,10000000,0.046579,246252300.632650,
Projection,10000000,0.046579,246252300.632650,
Projection,11000000,0.044228,270337346.448898,
Projection,12000000,0.042177,294422392.265147,
Projection,13000000,0.040367,318507438.081395,
Projection,14000000,0.038756,342592483.897643,
Projection,15000000,0.037308,366677529.713891,
Projection,16000000,0.035998,390762575.530139,
Projection,17000000,0.034805,414847621.346387,
Projection,18000000,0.033713,438932667.162635,
Projection,19000000,0.032709,463017712.978883,
Projection,20000000,0.031781,487102758.795132,
Projection,21000000,0.030920,511187804.611380,
Projection,22000000,0.030118,535272850.427628,
Projection,23000000,0.029370,559357896.243876,
Projection,24000000,0.028668,583442942.060124,
Projection,25000000,0.028009,607527987.876372,
Projection,26000000,0.027389,631613033.692620,
Projection,27000000,0.026803,655698079.508868,
Projection,28000000,0.026249,679783125.325117,
Projection,29000000,0.025724,703868171.141365,
Projection,30000000,0.025225,727953216.957613,
Projection,31000000,0.024751,752038262.773861,
Projection,32000000,0.024299,776123308.590109,
Projection,33000000,0.023868,800208354.406357,
Projection,34000000,0.023456,824293400.222605,
Projection,35000000,0.023061,848378446.038853,
Projection,36000000,0.022684,872463491.855101,
Projection,37000000,0.022321,896548537.671350,
Projection,38000000,0.021973,920633583.487598,
Projection,39000000,0.021639,944718629.303846,
Projection,40000000,0.021317,968803675.120094,
Projection,41000000,0.021007,992888720.936342,
Projection,42000000,0.020708,1016973766.752590,
Projection,43000000,0.020420,1041058812.568838,
Projection,44000000,0.020141,1065143858.385087,
Projection,45000000,0.019872,1089228904.201334,
Projection,46000000,0.019612,1113313950.017583,
Projection,47000000,0.019360,1137398995.833831,
Projection,48000000,0.019116,1161484041.650079,
Projection,49000000,0.018879,1185569087.466327,
Projection,50000000,0.018650,1209654133.282575,
Projection,51000000,0.018427,1233739179.098823,
Projection,52000000,0.018211,1257824224.915071,
Projection,53000000,0.018001,1281909270.731320,
Projection,54000000,0.017797,1305994316.547568,
Projection,55000000,0.017599,1330079362.363816,
Projection,56000000,0.017405,1354164408.180064,
Projection,57000000,0.017217,1378249453.996312,
Projection,58000000,0.017034,1402334499.812560,
Projection,59000000,0.016855,1426419545.628808,
Projection,60000000,0.016681,1450504591.445056,
Projection,61000000,0.016512,1474589637.261305,
Projection,62000000,0.016346,1498674683.077553,
Projection,63000000,0.016184,1522759728.893801,
Projection,64000000,0.016026,1546844774.710049,
Projection,65000000,0.015872,1570929820.526297,
Projection,66000000,0.015721,1595014866.342545,
Projection,67000000,0.015574,1619099912.158793,
Projection,68000000,0.015430,1643184957.975041,
Projection,69000000,0.015289,1667270003.791289,
Projection,70000000,0.015151,1691355049.607538,
Projection,71000000,0.015016,1715440095.423786,
Projection,72000000,0.014884,1739525141.240034,
Projection,73000000,0.014755,1763610187.056282,
Projection,74000000,0.014628,1787695232.872530,
Projection,75000000,0.014504,1811780278.688778,
Projection,76000000,0.014382,1835865324.505026,
Projection,77000000,0.014263,1859950370.321275,
Projection,78000000,0.014146,1884035416.137522,
Projection,79000000,0.014031,1908120461.953771,
Projection,80000000,0.013918,1932205507.770019,
Projection,81000000,0.013807,1956290553.586267,
Projection,82000000,0.013699,1980375599.402515,
Projection,83000000,0.013592,2004460645.218763,
Projection,84000000,0.013487,2028545691.035011,
Projection,85000000,0.013385,2052630736.851260,
Projection,86000000,0.013284,2076715782.667508,
Projection,87000000,0.013184,2100800828.483756,
Projection,88000000,0.013087,2124885874.300004,
Projection,89000000,0.012991,2148970920.116252,
Projection,90000000,0.012896,2173055965.932500,
Projection,91000000,0.012804,2197141011.748748,
Projection,92000000,0.012712,2221226057.564997,
Projection,93000000,0.012623,2245311103.381245,
Projection,94000000,0.012534,2269396149.197493,
Projection,95000000,0.012447,2293481195.013741,
Projection,96000000,0.012362,2317566240.829989,
Projection,97000000,0.012288,2341651286.646237,
Projection,98000000,0.012227,2365736332.462485,
Projection,99000000,0.012167,2389821378.278733,
Projection,100000000,0.012108,2413906424.094981,
Mean Verification,10000000,0.047286,246583775.472641,
Std Verification,10000000,0.000163,30015.527577,
Mean Verification,11000000,0.045347,269675500.178337,
Std Verification,11000000,0.000085,33228.437617,
Mean Verification,12000000,0.043164,294723727.846146,
Std Verification,12000000,0.000138,46983.336787,
Mean Verification,13000000,0.041658,317782492.446899,
Std Verification,13000000,0.000120,38056.333557,
Mean Verification,14000000,0.039953,342839733.028412,
Std Verification,14000000,0.000090,59842.831745,
Mean Verification,15000000,0.038779,365936636.638641,
Std Verification,15000000,0.000093,66213.546148,
Mean Verification,16000000,0.037368,390956958.651543,
Std Verification,16000000,0.000063,54117.906862,
Mean Verification,17000000,0.036391,414015428.328514,
Std Verification,17000000,0.000267,50077.339928,
Mean Verification,18000000,0.035224,439033740.091324,
Std Verification,18000000,0.000394,50446.495594,
Mean Verification,19000000,0.034405,462197169.208527,
Std Verification,19000000,0.000059,81763.345616,
Mean Verification,20000000,0.033432,487266933.751106,
Std Verification,20000000,0.000048,136828.631664,
Mean Verification,21000000,0.032727,510285751.152039,
Std Verification,21000000,0.000096,56584.905244,
Mean Verification,22000000,0.031871,535300220.894814,
Std Verification,22000000,0.000076,51215.574854,
Mean Verification,23000000,0.031259,558375717.306137,
Std Verification,23000000,0.000077,68650.404123,
Mean Verification,24000000,0.030525,583381618.452072,
Std Verification,24000000,0.000052,57485.177015,
Mean Verification,25000000,0.029976,606501890.993118,
Std Verification,25000000,0.000051,51018.565411,
Mean Verification,26000000,0.029319,631574521.207809,
Std Verification,26000000,0.000305,189685.891777,
Mean Verification,27000000,0.028829,654648780.488968,
Std Verification,27000000,0.000050,60160.608356,
Mean Verification,28000000,0.028259,679638992.094994,
Std Verification,28000000,0.000046,77567.413577,
Mean Verification,29000000,0.027832,702776138.472557,
Std Verification,29000000,0.000059,73326.805955,
Mean Verification,30000000,0.027303,727709968.495369,
Std Verification,30000000,0.000029,67726.256642,
Mean Verification,31000000,0.026898,750902776.265144,
Std Verification,31000000,0.000053,81843.207517,
Mean Verification,32000000,0.026437,775923953.270912,
Std Verification,32000000,0.000039,85995.780178,
Mean Verification,33000000,0.026079,799061965.513229,
Std Verification,33000000,0.000028,66504.815934,
Mean Verification,34000000,0.025643,824082764.220238,
Std Verification,34000000,0.000048,77454.793731,
Mean Verification,35000000,0.025312,847114994.072914,
Std Verification,35000000,0.000042,75317.284504,
Mean Verification,36000000,0.024923,872160834.097862,
Std Verification,36000000,0.000040,86832.615353,
