Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
CPU,maxworkstation7240.localdomain,
Type,Simulation Paths,Accuracy,Latency,
Benchmark,100000,0.794346,61047415.939678,
Benchmark,200000,0.544169,122200108.963070,
Benchmark,300000,0.433336,183352801.986463,
Benchmark,400000,0.367267,244505495.009856,
Benchmark,500000,0.322179,305658188.033248,
Benchmark,600000,0.288897,366810881.056641,
Benchmark,700000,0.263029,427963574.080034,
Benchmark,800000,0.242178,489116267.103426,
Benchmark,900000,0.224907,550268960.126819,
Benchmark,1000000,0.210296,611421653.150212,
Projection,1000000,0.210296,611421653.150212,
Projection,1100000,0.197726,672574346.173604,
Projection,1200000,0.186762,733727039.196997,
Projection,1300000,0.177089,794879732.220390,
Projection,1400000,0.168471,856032425.243782,
Projection,1500000,0.160731,917185118.267175,
Projection,1600000,0.153727,978337811.290568,
Projection,1700000,0.147352,1039490504.313960,
Projection,1800000,0.141515,1100643197.337353,
Projection,1900000,0.136145,1161795890.360746,
Projection,2000000,0.131184,1222948583.384138,
Projection,2100000,0.126581,1284101276.407531,
Projection,2200000,0.122295,1345253969.430923,
Projection,2300000,0.118292,1406406662.454316,
Projection,2400000,0.114542,1467559355.477709,
Projection,2500000,0.111020,1528712048.501102,
Projection,2600000,0.107702,1589864741.524494,
Projection,2700000,0.104571,1651017434.547887,
Projection,2800000,0.101609,1712170127.571280,
Projection,2900000,0.098801,1773322820.594672,
Projection,3000000,0.096135,1834475513.618065,
Projection,3100000,0.093599,1895628206.641458,
Projection,3200000,0.091183,1956780899.664850,
Projection,3300000,0.088878,2017933592.688243,
Projection,3400000,0.086675,2079086285.711636,
Projection,3500000,0.084567,2140238978.735028,
Projection,3600000,0.082548,2201391671.758421,
Projection,3700000,0.080611,2262544364.781813,
Projection,3800000,0.078751,2323697057.805206,
Projection,3900000,0.076963,2384849750.828599,
Projection,4000000,0.075242,2446002443.851992,
Projection,4100000,0.073585,2507155136.875383,
Projection,4200000,0.071987,2568307829.898777,
Projection,4300000,0.070446,2629460522.922170,
Projection,4400000,0.068957,2690613215.945562,
Projection,4500000,0.067518,2751765908.968955,
Projection,4600000,0.066127,2812918601.992347,
Projection,4700000,0.064780,2874071295.015740,
Projection,4800000,0.063475,2935223988.039133,
Projection,4900000,0.062211,2996376681.062526,
Projection,5000000,0.060984,3057529374.085918,
Projection,5100000,0.059794,3118682067.109311,
Projection,5200000,0.058638,3179834760.132703,
Projection,5300000,0.057516,3240987453.156096,
Projection,5400000,0.056424,3302140146.179489,
Projection,5500000,0.055363,3363292839.202881,
Projection,5600000,0.054330,3424445532.226274,
Projection,5700000,0.053324,3485598225.249667,
Projection,5800000,0.052344,3546750918.273059,
Projection,5900000,0.051390,3607903611.296452,
Projection,6000000,0.050459,3669056304.319845,
Projection,6100000,0.049552,3730208997.343237,
Projection,6200000,0.048666,3791361690.366630,
Projection,6300000,0.047802,3852514383.390022,
Projection,6400000,0.046958,3913667076.413415,
Projection,6500000,0.046133,3974819769.436808,
Projection,6600000,0.045328,4035972462.460200,
Projection,6700000,0.044540,4097125155.483593,
Projection,6800000,0.043770,4158277848.506986,
Projection,6900000,0.043016,4219430541.530378,
Projection,7000000,0.042279,4280583234.553771,
Projection,7100000,0.041558,4341735927.577165,
Projection,7200000,0.040851,4402888620.600556,
Projection,7300000,0.040160,4464041313.623949,
Projection,7400000,0.039482,4525194006.647342,
Projection,7500000,0.038818,4586346699.670734,
Projection,7600000,0.038167,4647499392.694127,
Projection,7700000,0.037528,4708652085.717520,
Projection,7800000,0.036902,4769804778.740912,
Projection,7900000,0.036288,4830957471.764305,
Projection,8000000,0.035686,4892110164.787698,
Projection,8100000,0.035094,4953262857.811090,
Projection,8200000,0.034514,5014415550.834482,
Projection,8300000,0.033944,5075568243.857876,
Projection,8400000,0.033384,5136720936.881269,
Projection,8500000,0.032834,5197873629.904661,
Projection,8600000,0.032294,5259026322.928053,
Projection,8700000,0.031763,5320179015.951447,
Projection,8800000,0.031242,5381331708.974838,
Projection,8900000,0.030729,5442484401.998232,
Projection,9000000,0.030224,5503637095.021624,
Projection,9100000,0.029728,5564789788.045017,
Projection,9200000,0.029240,5625942481.068410,
Projection,9300000,0.028760,5687095174.091801,
Projection,9400000,0.028288,5748247867.115194,
Projection,9500000,0.027823,5809400560.138587,
Projection,9600000,0.027365,5870553253.161981,
Projection,9700000,0.026915,5931705946.185372,
Projection,9800000,0.026471,5992858639.208766,
Projection,9900000,0.026034,6054011332.232159,
Projection,10000000,0.025604,6115164025.255551,
Mean Verification,1000000,0.229445,610937392.234802,
Std Verification,1000000,0.000000,0.000000,
Mean Verification,1100000,0.219789,672166923.761368,
Std Verification,1100000,0.000000,0.000000,
Mean Verification,1200000,0.207395,733629565.000534,
Std Verification,1200000,0.000000,0.000000,
Mean Verification,1300000,0.197901,793770684.480667,
Std Verification,1300000,0.000000,0.000000,
Mean Verification,1400000,0.188421,855137925.148010,
Std Verification,1400000,0.000000,0.000000,
Mean Verification,1500000,0.180711,916387236.356735,
Std Verification,1500000,0.000000,0.000000,
Mean Verification,1600000,0.175471,977106551.885605,
Std Verification,1600000,0.000000,0.000000,
Mean Verification,1700000,0.169089,1038089588.880539,
Std Verification,1700000,0.000000,0.000000,
Mean Verification,1800000,0.163119,1098939436.435699,
Std Verification,1800000,0.000000,0.000000,
Mean Verification,1900000,0.157355,1160377567.768097,
Std Verification,1900000,0.000000,0.000000,
Mean Verification,2000000,0.153060,1220588033.914566,
Std Verification,2000000,0.000000,0.000000,
Mean Verification,2100000,0.149509,1281517040.967941,
Std Verification,2100000,0.000000,0.000000,
Mean Verification,2200000,0.146189,1342930282.831192,
Std Verification,2200000,0.000000,0.000000,
Mean Verification,2300000,0.141958,1406657031.297684,
Std Verification,2300000,0.000000,0.000000,
Mean Verification,2400000,0.138792,1465531479.120255,
Std Verification,2400000,0.000000,0.000000,
Mean Verification,2500000,0.136883,1527103522.062302,
Std Verification,2500000,0.000000,0.000000,
Mean Verification,2600000,0.133457,1588448122.262955,
Std Verification,2600000,0.000000,0.000000,
Mean Verification,2700000,0.130345,1648803211.927414,
Std Verification,2700000,0.000000,0.000000,
Mean Verification,2800000,0.127610,1709408265.113831,
Std Verification,2800000,0.000000,0.000000,
Mean Verification,2900000,0.124689,1779694305.181503,
Std Verification,2900000,0.000000,0.000000,
Mean Verification,3000000,0.122235,1832347275.972366,
Std Verification,3000000,0.000000,0.000000,
Mean Verification,3100000,0.120218,1891974612.951279,
Std Verification,3100000,0.000000,0.000000,
Mean Verification,3200000,0.118527,1953423543.691635,
Std Verification,3200000,0.000000,0.000000,
Mean Verification,3300000,0.116984,2021650854.110718,
Std Verification,3300000,0.000000,0.000000,
Mean Verification,3400000,0.115641,2075455055.236816,
Std Verification,3400000,0.000000,0.000000,
Mean Verification,3500000,0.113607,2136336354.970932,
Std Verification,3500000,0.000000,0.000000,
Mean Verification,3600000,0.111989,2198056349.992752,
Std Verification,3600000,0.000000,0.000000,
Mean Verification,3700000,0.110333,2259877390.146255,
Std Verification,3700000,0.000000,0.000000,
Mean Verification,3800000,0.108523,2321097892.999649,
Std Verification,3800000,0.000000,0.000000,
Mean Verification,3900000,0.107030,2380201822.042465,
Std Verification,3900000,0.000000,0.000000,
Mean Verification,4000000,0.105555,2441310721.397400,
Std Verification,4000000,0.000000,0.000000,
Mean Verification,4100000,0.103959,2504967407.941818,
Std Verification,4100000,0.000000,0.000000,
Mean Verification,4200000,0.102686,2562856458.425522,
Std Verification,4200000,0.000000,0.000000,
Mean Verification,4300000,0.101386,2624613065.958023,
Std Verification,4300000,0.000000,0.000000,
Mean Verification,4400000,0.100865,2685127618.312836,
Std Verification,4400000,0.000000,0.000000,
Mean Verification,4500000,0.099453,2747741497.993469,
Std Verification,4500000,0.000000,0.000000,
Mean Verification,4600000,0.098648,2808667343.139648,
Std Verification,4600000,0.000000,0.000000,
