Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
CPU,ee-benjamin.ee.ic.ac.uk,
Type,Simulation Paths,Accuracy,Latency,
Benchmark,100000,0.625290,10134222.745462,
Benchmark,200000,0.454442,18291544.369784,
Benchmark,300000,0.378754,26448865.994107,
Benchmark,400000,0.333634,34606187.618429,
Benchmark,500000,0.302843,42763509.242751,
Benchmark,600000,0.280114,50920830.867074,
Benchmark,700000,0.262449,59078152.491396,
Benchmark,800000,0.248210,67235474.115718,
Benchmark,900000,0.236415,75392795.740041,
Benchmark,1000000,0.226438,83550117.364363,
Projection,1000000,0.226438,83550117.364363,
Projection,1100000,0.217853,91707438.988686,
Projection,1200000,0.210366,99864760.613008,
Projection,1300000,0.203760,108022082.237330,
Projection,1400000,0.197875,116179403.861653,
Projection,1500000,0.192589,124336725.485975,
Projection,1600000,0.187806,132494047.110297,
Projection,1700000,0.183452,140651368.734620,
Projection,1800000,0.179466,148808690.358942,
Projection,1900000,0.175799,156966011.983265,
Projection,2000000,0.172411,165123333.607587,
Projection,2100000,0.169267,173280655.231909,
Projection,2200000,0.166341,181437976.856232,
Projection,2300000,0.163607,189595298.480554,
Projection,2400000,0.161046,197752620.104876,
Projection,2500000,0.158640,205909941.729199,
Projection,2600000,0.156375,214067263.353521,
Projection,2700000,0.154236,222224584.977844,
Projection,2800000,0.152214,230381906.602166,
Projection,2900000,0.150296,238539228.226488,
Projection,3000000,0.148476,246696549.850811,
Projection,3100000,0.146744,254853871.475133,
Projection,3200000,0.145094,263011193.099455,
Projection,3300000,0.143520,271168514.723778,
Projection,3400000,0.142015,279325836.348100,
Projection,3500000,0.140576,287483157.972423,
Projection,3600000,0.139197,295640479.596745,
Projection,3700000,0.137874,303797801.221067,
Projection,3800000,0.136604,311955122.845390,
Projection,3900000,0.135383,320112444.469712,
Projection,4000000,0.134208,328269766.094034,
Projection,4100000,0.133076,336427087.718357,
Projection,4200000,0.131985,344584409.342679,
Projection,4300000,0.130932,352741730.967001,
Projection,4400000,0.129916,360899052.591324,
Projection,4500000,0.128933,369056374.215646,
Projection,4600000,0.127983,377213695.839969,
Projection,4700000,0.127063,385371017.464291,
Projection,4800000,0.126172,393528339.088613,
Projection,4900000,0.125308,401685660.712936,
Projection,5000000,0.124471,409842982.337258,
Projection,5100000,0.123658,418000303.961581,
Projection,5200000,0.122869,426157625.585903,
Projection,5300000,0.122102,434314947.210225,
Projection,5400000,0.121357,442472268.834548,
Projection,5500000,0.120632,450629590.458870,
Projection,5600000,0.119926,458786912.083192,
Projection,5700000,0.119240,466944233.707515,
Projection,5800000,0.118571,475101555.331837,
Projection,5900000,0.117919,483258876.956160,
Projection,6000000,0.117283,491416198.580482,
Projection,6100000,0.116663,499573520.204804,
Projection,6200000,0.116059,507730841.829127,
Projection,6300000,0.115468,515888163.453449,
Projection,6400000,0.114892,524045485.077771,
Projection,6500000,0.114329,532202806.702094,
Projection,6600000,0.113779,540360128.326416,
Projection,6700000,0.113241,548517449.950738,
Projection,6800000,0.112715,556674771.575061,
Projection,6900000,0.112200,564832093.199383,
Projection,7000000,0.111697,572989414.823706,
Projection,7100000,0.111204,581146736.448028,
Projection,7200000,0.110722,589304058.072350,
Projection,7300000,0.110249,597461379.696673,
Projection,7400000,0.109787,605618701.320995,
Projection,7500000,0.109333,613776022.945317,
Projection,7600000,0.108888,621933344.569640,
Projection,7700000,0.108453,630090666.193962,
Projection,7800000,0.108025,638247987.818285,
Projection,7900000,0.107606,646405309.442607,
Projection,8000000,0.107194,654562631.066929,
Projection,8100000,0.106790,662719952.691252,
Projection,8200000,0.106394,670877274.315574,
Projection,8300000,0.106005,679034595.939896,
Projection,8400000,0.105622,687191917.564219,
Projection,8500000,0.105247,695349239.188541,
Projection,8600000,0.104878,703506560.812863,
Projection,8700000,0.104516,711663882.437186,
Projection,8800000,0.104159,719821204.061508,
Projection,8900000,0.103809,727978525.685831,
Projection,9000000,0.103464,736135847.310153,
Projection,9100000,0.103126,744293168.934475,
Projection,9200000,0.102792,752450490.558798,
Projection,9300000,0.102465,760607812.183120,
Projection,9400000,0.102142,768765133.807443,
Projection,9500000,0.101824,776922455.431765,
Projection,9600000,0.101512,785079777.056087,
Projection,9700000,0.101204,793237098.680410,
Projection,9800000,0.100901,801394420.304732,
Projection,9900000,0.100603,809551741.929054,
Projection,10000000,0.100309,817709063.553377,
Projection,10100000,0.100020,825866385.177699,
Projection,10200000,0.099734,834023706.802022,
Projection,10300000,0.099453,842181028.426344,
Projection,10400000,0.099176,850338350.050666,
Projection,10500000,0.098903,858495671.674989,
Projection,10600000,0.098634,866652993.299311,
Projection,10700000,0.098369,874810314.923633,
Projection,10800000,0.098107,882967636.547956,
Projection,10900000,0.097849,891124958.172278,
Projection,11000000,0.097595,899282279.796600,
Projection,11100000,0.097343,907439601.420923,
Projection,11200000,0.097096,915596923.045245,
Projection,11300000,0.096851,923754244.669568,
Projection,11400000,0.096610,931911566.293890,
Projection,11500000,0.096372,940068887.918212,
Projection,11600000,0.096137,948226209.542535,
Projection,11700000,0.095905,956383531.166857,
Projection,11800000,0.095676,964540852.791179,
Projection,11900000,0.095450,972698174.415502,
Projection,12000000,0.095227,980855496.039824,
Projection,12100000,0.095006,989012817.664146,
Projection,12200000,0.094789,997170139.288469,
Projection,12300000,0.094573,1005327460.912791,
Projection,12400000,0.094361,1013484782.537114,
