Forward Financial Framework Kaiserslatuarn+ Benchmark Results,
CPU,ee-benjamin.ee.ic.ac.uk,
Option Number,Simulation Paths,Target 95% CI,95% CI,Total Time,
1,590,10.0,6.874733,12734.413147,
10,1,10.0,0.0,12328.1002045,
1,726,9.0,6.553794,12794.470787,
10,1,9.0,0.0,12553.8349152,
11,13,8.0,7.245663,27941.5130615,
4,1,7.0,0.0,13021.2783813,
11,16,7.0,3.513763,31430.1967621,
10,1,6.0,0.0,13233.7331772,
1,141,5.0,11.906829,12118.8640594,
4,1,5.0,0.0,12891.7217255,
10,1,5.0,0.0,12600.2550125,
1,3613,4.0,3.497481,13101.2201309,
10,1,4.0,0.0,12201.0946274,
1,6405,3.0,3.332411,14721.9896317,
10,2,3.0,0.0,14826.2262344,
1,14388,2.0,1.899735,13217.1869278,
10,4,2.0,0.0,14409.3036652,
1,57701,1.0,0.966678,19742.1073914,
11,481,1.0,0.87175,49462.5091553,
1,71309,0.9,0.866471,19090.4140472,
5,320,0.9,0.886908,22876.739502,
1,90376,0.8,0.736475,20471.3106155,
11,737,0.8,0.812631,56278.3479691,
1,118265,0.7,0.639995,22997.0932007,
5,527,0.7,0.712072,35163.9986038,
1,161399,0.6,0.608624,28779.2205811,
6,662,0.6,0.595834,31224.0123749,
1,233316,0.5,0.988275,31590.4855728,
11,1830,0.5,0.487599,80273.3421326,
1,366754,0.4,0.383141,41341.2570953,
13,9334,0.4,0.397967,124807.834625,
1,438724,0.3,0.367032,48493.3137894,
13,16513,0.3,0.301116,217809.510231,
13,36994,0.2,0.198465,398031.115532,
1,6466800,0.1,0.093937,401061.39183,
13,38646,0.1,0.198346,458408.403397,
1,8103897,0.09,0.087064,468551.492691,
13,53370,0.09,0.168449,549786.138535,
1,9040022,0.08,0.080348,551563.930511,
13,74664,0.08,0.141337,805339.14566,
1,10034796,0.07,0.076774,647825.622559,
13,106856,0.07,0.118752,1133516.47854,
1,11517267,0.06,0.070506,705323.410034,
13,156703,0.06,0.097438,1442605.61466,
1,14029384,0.05,0.065188,753068.256378,
13,239297,0.05,0.079176,2169062.80518,
1,18846624,0.04,0.055417,1072991.13274,
13,390967,0.04,0.061846,3624740.91053,
1,29959430,0.03,0.044239,1598826.09844,
13,717214,0.03,0.045551,6336386.27529,
13,2107821,0.02,0.02661,18334537.673,
13,8443480,0.01,0.013282,67552069.0203,
13,10459130,0.009,0.011941,83419293.5944,
13,13298129,0.008,0.010586,105759519.219,
13,17265882,0.007,0.009293,138100252.938,
13,22646873,0.006,0.008114,181587787.604,
13,31307590,0.005,0.006899,248231901.05,
13,48842606,0.004,0.005524,388053524.733,
13,90294219,0.003,0.004064,714231352.52,
13,227404064,0.002,0.00256,1797840774.15,
