Forward Financial Framework Kaiserslatuarn+ Benchmark Results,
CPU,ee-mollie,
Option Number,Simulation Paths,Target 95% CI,95% CI,Total Time,
2,1,10.0,0.0,7768.17798615,
3,1,10.0,0.0,7638.71669769,
4,1,10.0,0.0,6193.23253632,
5,3,10.0,11.931198,9203.21941376,
6,3,10.0,0.0,7596.13513947,
7,1,10.0,0.0,6975.60310364,
8,2,10.0,0.0,7060.90927124,
9,2,10.0,0.0,7566.16592407,
10,1,10.0,0.0,6685.61458588,
11,10,10.0,8.083122,9710.38341522,
12,1,10.0,0.0,6261.51561737,
13,27,10.0,5.138617,8918.69068146,
2,1,9.0,0.0,7714.67685699,
3,1,9.0,0.0,7633.56685638,
4,1,9.0,0.0,6447.52979279,
5,4,9.0,9.567242,10331.9168091,
6,3,9.0,0.0,7300.97293854,
7,2,9.0,0.0,7033.20503235,
8,2,9.0,0.0,6852.26917267,
9,2,9.0,0.0,7458.73451233,
10,1,9.0,0.0,6538.98715973,
11,12,9.0,6.972355,10711.0023499,
12,1,9.0,0.0,6252.95639038,
13,31,9.0,7.007466,10030.7226181,
2,1,8.0,0.0,7568.28784943,
3,2,8.0,0.0,7508.3732605,
4,1,8.0,0.0,6103.37257385,
5,5,8.0,0.0,10060.5726242,
6,4,8.0,14.127103,10106.4920425,
7,2,8.0,0.0,7002.18677521,
8,2,8.0,0.0,6772.42279053,
9,2,8.0,0.0,7206.9644928,
10,1,8.0,0.0,6459.97524261,
11,14,8.0,6.092581,12222.0516205,
12,1,8.0,0.0,6260.89572906,
13,38,8.0,7.408507,9775.40016174,
2,1,7.0,0.0,7628.39317322,
3,2,7.0,0.0,7637.95375824,
4,1,7.0,0.0,5971.55094147,
5,6,7.0,3.89711,11604.309082,
6,5,7.0,0.0,10197.7109909,
7,2,7.0,0.0,6844.32983398,
8,3,7.0,0.0,8882.28416443,
9,3,7.0,0.0,8845.01934052,
10,1,7.0,0.0,6641.76940918,
11,17,7.0,4.569061,10028.4099579,
12,1,7.0,0.0,6373.02398682,
13,47,7.0,5.133541,11028.6235809,
2,1,6.0,0.0,7559.1802597,
3,2,6.0,0.0,7884.33551788,
4,1,6.0,0.0,6136.98959351,
5,8,6.0,0.0,7079.60128784,
6,7,6.0,0.531314,11524.6534348,
7,2,6.0,0.0,6942.82054901,
8,3,6.0,0.0,8724.06959534,
9,3,6.0,0.0,8893.32294464,
10,2,6.0,0.0,6632.39955902,
11,22,6.0,3.695967,12692.6898956,
12,1,6.0,0.0,6206.17866516,
13,61,6.0,4.001382,10945.9638596,
2,1,5.0,0.0,7392.23957062,
3,2,5.0,0.0,7975.6975174,
4,1,5.0,0.0,6092.02384949,
5,11,5.0,2.818091,9302.63996124,
6,10,5.0,4.754295,7668.16139221,
7,2,5.0,0.0,6966.87698364,
8,5,5.0,0.0,7986.42635345,
9,4,5.0,1.97546,10099.5063782,
10,2,5.0,0.0,6897.2826004,
11,29,5.0,2.745567,13756.3467026,
12,1,5.0,0.0,6266.61777496,
13,83,5.0,4.5669,11702.7282715,
2,1,4.0,0.0,7516.14570618,
3,3,4.0,0.0,6998.32439423,
4,1,4.0,0.0,6207.63301849,
5,17,4.0,3.147695,8994.93694305,
6,15,4.0,1.746336,8996.79660797,
7,3,4.0,0.0,7047.51014709,
8,7,4.0,0.930019,9421.96846008,
9,6,4.0,4.000619,11133.6946487,
10,3,4.0,0.0,8781.71920776,
11,42,4.0,2.24146,13486.8383408,
12,1,4.0,0.0,6158.32805634,
13,122,4.0,2.792878,13644.9813843,
2,1,3.0,0.0,7674.21722412,
3,4,3.0,0.0,7048.51150513,
4,2,3.0,0.0,8335.92414856,
5,29,3.0,3.333101,10964.179039,
6,27,3.0,2.518212,9814.81075287,
7,4,3.0,0.0,8271.71802521,
8,11,3.0,0.0,7399.67823029,
9,9,3.0,1.605825,7459.21134949,
10,4,3.0,0.0,7856.10675812,
11,68,3.0,1.848042,18293.0707932,
12,1,3.0,0.0,6175.54187775,
13,97,3.0,4.386004,11451.1489868,
2,2,2.0,0.0,7479.09545898,
3,7,2.0,0.0,11136.1026764,
4,3,2.0,0.0,7081.46095276,
5,65,2.0,2.01794,14887.5236511,
6,59,2.0,1.945086,13306.1408997,
7,6,2.0,0.0,9128.92818451,
8,23,2.0,0.974049,9719.99168396,
9,18,2.0,1.493297,9649.77741241,
10,6,2.0,0.0,8531.35585785,
11,138,2.0,1.27088,26512.4559402,
12,1,2.0,0.0,6154.51335907,
1,27262,1.0,1.348147,16645.1692581,
3,20,1.0,0.0,9496.47426605,
4,10,1.0,0.186572,8846.68827057,
5,260,1.0,0.979828,34570.6701279,
6,236,1.0,0.857208,26647.4723816,
7,11,1.0,0.0,6554.17442322,
8,87,1.0,1.171823,14021.4920044,
9,61,1.0,0.924694,16095.6859589,
10,18,1.0,0.0,7690.50121307,
12,1,1.0,0.0,6051.18274689,
13,1567,1.0,0.989697,83855.7004929,
3,23,0.9,0.0,12162.9238129,
4,12,0.9,0.0,9747.88665771,
5,320,0.9,0.888032,40836.4057541,
6,291,0.9,0.750808,29398.727417,
7,13,0.9,0.0,7726.50241852,
8,107,0.9,0.773576,16335.4873657,
9,74,0.9,0.930548,16342.2822952,
10,21,0.9,0.0,8178.52020264,
12,1,0.9,0.0,6287.33634949,
13,1918,0.9,0.890429,100555.515289,
1,94610,0.8,0.785904,39188.9810562,
2,7,0.8,0.0,8317.42286682,
3,27,0.8,0.0,11996.8414307,
4,15,0.8,0.804235,8410.66837311,
5,405,0.8,0.794526,50359.416008,
6,369,0.8,0.828739,37339.2820358,
7,15,0.8,0.0,8086.4906311,
8,135,0.8,0.810035,17550.778389,
