Forward Financial Framework Kaiserslatuarn+ Benchmark Results,
OpenCL_GPU,ee-snowball0,
Option Number,Simulation Paths,Target 95% CI,95% CI,Total Time,
11,11,10.0,4.218848,252807.736397,
11,14,9.0,3.350136,251334.71489,
11,17,8.0,5.835993,249115.753174,
11,22,7.0,4.570715,271776.31855,
4,1,6.0,nan,250849.699974,
11,30,6.0,4.707749,250987.100601,
11,43,5.0,5.438181,251790.142059,
11,67,4.0,4.73402,251952.767372,
11,118,3.0,3.013652,254071.235657,
11,265,2.0,2.021298,252707.93438,
1,97929,1.0,1.017636,186141.014099,
11,1056,1.0,1.097561,253717.255592,
13,22513,0.9,0.895388,213085.29377,
4,39,0.8,0.374186,249297.785759,
13,17116,0.8,1.029373,213479.6381,
10,64,0.7,0.400919,248529.815674,
13,24946,0.7,0.850498,229387.521744,
10,80,0.6,0.321244,251145.291328,
13,38307,0.6,0.685015,230485.630035,
3,46,0.5,0.410813,249892.21096,
4,84,0.5,0.40836,249219.226837,
3,71,0.4,0.2672,248268.389702,
6,2595,0.4,0.347973,251556.301117,
5,13353,0.3,0.287626,247000.622749,
11,11799,0.3,0.3161,252125.358582,
5,29765,0.2,0.195873,282665.872574,
11,26690,0.2,0.205699,288271.665573,
13,1256589,0.1,0.120119,1039914.41727,
13,1592571,0.09,0.10667,1269871.09184,
13,1928234,0.08,0.09692,1481140.4705,
13,2404426,0.07,0.086827,1787783.67043,
13,3136384,0.06,0.076045,2276646.61407,
13,4354389,0.05,nan,3090777.80247,
13,6610029,0.04,nan,4572000.69427,
13,11531781,0.03,nan,7841237.90264,
3,28340,0.02,0.01873,283955.025673,
6,988464,0.02,0.019658,1634567.28458,
8,254148,0.02,0.020285,593959.307671,
9,289088,0.02,0.020203,626222.157478,
10,31051,0.02,0.019719,283925.580978,
13,20251568,0.02,nan,13603892.1833,
